Dalvik/1.6.0 (Linux; U; Android 4.0.4; U705T Build/IMM76D)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; R1001 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; R1001 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; SM-G7102 Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; Lenovo A688t Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; R1001 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; K fone OLA Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; K fone OLA Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.1.2; Coolpad 5890 Build/JZO54K)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; Lenovo A606 Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; Lenovo A606 Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; LA2-S Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.3; GT-I9152P Build/JLS36C)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; CHM-TL00 Build/HonorCHM-TL00)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; LA2-S Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.2.1; JK808 Build/JOP40D)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; UNISTAR-U7 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; UNISTAR-U7 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; Ramos K2 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; MEEG 210R Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; MEEG 210R Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; MEEG 210R Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; MEEG 210R Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; MEEG 210R Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; MEEG 210R Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; MEEG 210R Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; MEEG 210R Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; SHV-E210K Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; SHV-E210K Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; UIMI3 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.1; M857 Build/JOP40D)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; ChangHongZ1 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; ChangHongZ1 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.3; ZTE Q505T Build/JLS36C)
Dalvik/1.6.0 (Linux; U; Android 4.2.1; M857 Build/JOP40D)
Dalvik/1.6.0 (Linux; U; Android 4.2.1; M857 Build/JOP40D)
Dalvik/1.6.0 (Linux; U; Android 4.1.2; GT-N7100 Build/JZO54K)
Dalvik/1.6.0 (Linux; U; Android 4.1.2; GT-N7100 Build/JZO54K)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; SM-A5000 Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; SM-A5000 Build/KTU84P)
